player,team,games_played,mpg,ppg,rpg,apg,espn_id
Abijah Franklin,Furman,23,11.4,4.6,1.9,1.0,5314508
Mason Smith,Furman,7,9.4,3.0,4.6,0.1,5243231
Collin O'Neal,Furman,17,10.3,2.9,1.4,0.5,5314510
Owen Ritger,Furman,17,7.5,1.7,1.1,0.4,5314514
Gunnar Lewis,Furman,3,3.0,1.7,0.0,0.0,5314512
Thomas Tillman,Furman,6,1.3,0.7,0.0,0.0,5176205
Jeremiah Wilkinson,Georgia,30,25.6,17.0,2.0,1.8,5165276
Blue Cain,Georgia,32,27.9,13.3,5.1,2.7,5174661
Kanon Catchings,Georgia,31,23.5,12.0,4.8,1.2,5243212
Marcus Millender,Georgia,32,26.0,11.9,2.8,4.0,5176681
Somtochukwu Cyril,Georgia,32,21.4,9.6,5.6,0.6,5238203
Jordan Ross,Georgia,31,20.9,6.6,2.5,2.4,4711402
Jake Wilkins,Georgia,31,10.2,4.9,1.7,0.4,5142622
Kareem Stagg,Georgia,32,12.7,4.8,2.3,0.6,5144153
Dylan James,Georgia,32,14.9,4.5,3.8,0.5,4895794
Justin Bailey,Georgia,30,12.6,4.2,1.4,0.7,5107490
Justin Abson,Georgia,30,11.4,2.9,3.6,0.4,5238204
Brandon Klatsky,Georgia,7,1.6,1.1,0.1,0.0,5105530
Jaden Newell,Georgia,9,1.3,0.2,0.1,0.0,5105532
Markel Jennings,Georgia,1,1.0,0.0,0.0,0.0,5174664
Graham Ike,Gonzaga,29,30.8,19.7,8.2,2.4,4703396
Braden Huff,Gonzaga,18,25.4,17.8,5.6,1.5,4894445
Tyon Grant-Foster,Gonzaga,33,21.6,11.2,5.0,1.2,4700527
Mario Saint-Supery,Gonzaga,33,22.4,8.6,2.8,3.6,5313012
Davis Fogle,Gonzaga,28,16.2,8.4,3.0,1.4,5196913
Adam Miller,Gonzaga,33,19.8,7.6,1.6,1.1,4432175
Jalen Warley,Gonzaga,31,21.4,6.8,4.5,1.9,4683147
Emmanuel Innocenti,Gonzaga,33,23.6,5.8,3.7,1.7,5176787
Braeden Smith,Gonzaga,33,17.8,5.4,2.3,3.8,5105672
