player,team,games_played,mpg,ppg,rpg,apg,espn_id
Jamie Vinson,Texas A&M,28,6.4,3.4,2.2,0.4,5101692
Federiko Federiko,Texas A&M,31,8.6,1.8,1.9,0.5,5105412
Noah Shelby,Texas A&M,9,2.4,1.1,0.2,0.0,4823977
Jeremiah Green,Texas A&M,8,4.0,0.9,0.1,0.5,5041941
Chris McDermott,Texas A&M,15,2.5,0.7,0.7,0.2,5061578
JT Toppin,Texas Tech,25,34.8,21.8,10.8,2.1,5143604
Christian Anderson,Texas Tech,31,38.4,18.9,3.6,7.6,5060701
Donovan Atwell,Texas Tech,32,34.7,13.5,3.3,0.8,5107355
LeJuan Watts,Texas Tech,31,27.5,11.5,6.0,2.5,5107312
Jaylen Petty,Texas Tech,31,30.0,9.5,3.9,2.2,5221321
Luke Bamgboye,Texas Tech,19,16.5,4.7,3.3,0.5,5061581
Josiah Moseley,Texas Tech,12,12.8,4.6,3.7,0.5,5152656
Tyeree Bryan,Texas Tech,31,17.5,3.7,2.6,0.6,5108120
Leon Horner,Texas Tech,22,8.3,2.4,1.9,0.2,5240271
Marial Akuentok,Texas Tech,13,6.6,1.3,1.8,0.2,5311930
Nolan Groves,Texas Tech,21,6.1,1.0,1.2,0.2,5311929
Jazz Henderson,Texas Tech,11,3.9,0.8,0.5,0.4,5240270
Jack Francis,Texas Tech,13,1.2,0.0,0.3,0.0,5175077
Victor Valdes,Troy,32,29.3,14.8,4.0,4.6,5176736
Thomas Dowd,Troy,33,36.1,14.8,10.1,2.2,5176732
Theo Seng,Troy,27,28.9,12.9,5.8,1.1,4897957
Cooper Campbell,Troy,33,33.8,12.7,3.5,4.2,5240745
Cobi Campbell,Troy,32,27.9,9.0,1.8,1.5,5240746
Jerrell Bellamy,Troy,33,16.7,8.2,3.5,0.4,5176735
Kerrington Kiel,Troy,33,16.2,3.9,3.7,1.1,5176731
Austin Cross,Troy,33,16.0,3.7,1.6,0.4,5240749
Evan Griffin,Troy,12,6.7,2.4,1.8,0.5,5240748
Javen Colbert,Troy,18,5.7,2.1,0.7,0.7,5313365
Emmanuel Clarton,Troy,13,3.7,1.6,1.0,0.4,5313364
Corbin Green,Troy,13,4.3,1.5,1.2,0.3,5113386
Kameryn Mitchell,Troy,8,3.4,0.6,0.6,0.1,5176738
Hikaru Awata,Troy,5,1.2,0.2,0.2,0.0,5313367
Riley Kugel,UCF,30,28.9,14.4,3.1,2.5,5105529
Themus Fulks,UCF,32,32.8,14.1,3.0,6.7,4704078
Jordan Burks,UCF,32,28.0,13.0,4.8,0.6,5060684
Jamichael Stillwell,UCF,30,28.4,11.7,8.0,2.2,5241667
Chris Johnson,UCF,31,15.7,6.4,1.4,1.9,5175069
John Bol,UCF,32,18.7,6.0,5.5,0.3,4915060
Devan Cambridge,UCF,32,17.4,5.4,3.5,0.8,4567588
Carmelo Pacheco,UCF,30,15.5,4.7,1.3,0.4,5242634
George Beale Jr.,UCF,24,8.1,3.7,0.9,0.3,5107975
Jeremy Foumena,UCF,26,9.5,3.5,2.3,0.2,5105970
Kris Parker,UCF,22,5.8,1.7,0.7,0.2,4848623
Elijah Hulsewe,UCF,16,4.9,1.1,1.5,0.1,5108850
Poohpha Warakulnukroh,UCF,4,1.5,0.5,0.5,0.0,5106645
Zach Johnson,UCF,7,1.7,0.0,0.3,0.0,5311932
Tyler Bilodeau,UCLA,31,30.2,17.6,5.6,1.1,5105626
Donovan Dent,UCLA,33,34.2,13.5,2.9,7.6,5107782
Trent Perry,UCLA,33,29.6,12.7,2.9,2.9,5060706
Skyy Clark,UCLA,24,28.7,11.7,2.3,2.1,5105794
Eric Dailey Jr.,UCLA,33,27.5,11.3,5.8,1.3,4610012
Xavier Booker,UCLA,34,19.6,6.9,3.3,0.8,4711304
Jamar Brown,UCLA,34,16.1,3.9,2.8,0.5,5177743
Brandon Williams,UCLA,32,12.3,2.7,1.8,0.3,5174981
Eric Freeny,UCLA,26,10.8,2.2,1.6,0.4,5149633
Steven Jamerson II,UCLA,33,9.6,1.8,2.0,0.5,5105417
Jack Seidler,UCLA,6,1.2,0.3,0.7,0.0,5105640
Anthony Peoples Jr.,UCLA,6,1.7,0.3,0.8,0.0,5243402
Christian Horry,UCLA,4,1.8,0.0,0.0,0.3,5239622
Jah'Likai King,UMBC,31,32.1,13.9,3.4,1.5,5313186
DJ Armstrong Jr.,UMBC,32,32.3,13.2,2.8,2.1,5252505
Ace Valentine,UMBC,31,32.5,12.0,4.1,4.0,5174860
Caden Diggs,UMBC,31,22.5,9.8,3.6,0.9,5196866
Josh Odunowo,UMBC,29,23.1,8.6,5.2,0.9,4702976
Jose Roberto Tanchyn,UMBC,31,19.1,6.5,5.7,0.7,5182581
Daylon Dickerson,UMBC,21,13.9,5.6,3.3,1.3,5239816
Devin Ceaser,UMBC,3,7.7,4.3,1.0,0.3,4888718
Riley Jacobs,UMBC,31,15.6,4.3,3.8,0.6,5313189
Cougar Downing,UMBC,30,12.4,3.7,0.9,0.6,5177355
Paul Greene,UMBC,19,7.8,2.1,2.3,0.2,5313187
Tim Eze,UMBC,15,5.7,1.8,1.1,0.1,5239817
Jake Stout,UMBC,10,3.4,1.3,0.3,0.2,5239818
Saahil Thakkar,UMBC,6,1.7,0.5,0.2,0.0,5313190
MJ Collins Jr.,Utah St.,34,30.4,17.6,2.4,1.6,5105401
Mason Falslev,Utah St.,34,31.9,16.1,5.8,3.1,5107864
Karson Templin,Utah St.,34,18.7,9.1,4.2,0.8,5176273
Drake Allen,Utah St.,33,25.2,7.7,3.0,4.7,5105494
Kolby King,Utah St.,34,19.7,7.6,3.4,1.5,5105604
Garry Clark,Utah St.,34,16.5,6.8,4.3,0.6,5108973
Adlan Elamin,Utah St.,33,19.0,6.5,3.0,0.8,5195079
Elijah Perryman,Utah St.,34,14.2,4.6,1.6,3.1,5255260
Zach Keller,Utah St.,33,13.8,3.5,2.1,0.5,4896363
Tucker Anderson,Utah St.,25,11.6,3.4,1.2,0.7,5175860
Luke Kearney,Utah St.,12,4.0,1.7,0.4,0.3,5182081
Jordy Barnes,Utah St.,17,5.5,0.9,0.6,0.7,5241264
Terrence Hill Jr.,VCU,34,24.3,14.4,2.5,2.8,5060712
Lazar Djokovic,VCU,33,27.3,13.5,5.4,1.0,5175368
Jadrian Tracey,VCU,34,22.1,9.9,2.9,1.8,4701030
Nyk Lewis,VCU,33,24.1,8.7,4.5,1.7,5311890
Brandon Jennings,VCU,34,24.6,8.7,3.5,2.2,5239713
Michael Belle,VCU,34,22.3,7.5,5.1,1.0,5174672
Barry Evans,VCU,34,26.5,7.2,5.0,2.1,5105987
Tyrell Ward,VCU,29,13.3,5.8,2.1,0.5,4684733
Ahmad Nowell,VCU,27,10.6,4.7,1.2,0.6,4869778
Jordan Tillery,VCU,11,7.2,4.5,1.5,0.5,5311892
Keyshawn Mitchell,VCU,19,11.1,3.4,2.6,0.5,5174851
Jordann Dumont,VCU,8,2.4,1.0,0.1,0.0,5117584
Christian Fermin,VCU,4,13.0,0.8,2.5,0.8,5106041
Tyler Tanner,Vanderbilt,34,33.3,19.1,3.6,5.1,5187600
Duke Miles,Vanderbilt,26,29.5,16.5,3.2,4.5,4702049
Tyler Nickel,Vanderbilt,34,30.4,13.5,3.2,1.2,4838721
AK Okereke,Vanderbilt,34,25.8,9.7,3.4,2.0,5114350
Devin McGlockton,Vanderbilt,34,25.0,9.6,6.7,1.3,4791227
Jalen Washington,Vanderbilt,34,20.9,9.1,5.7,0.9,4433625
Frankie Collins,Vanderbilt,9,20.9,7.8,4.2,4.7,4433616
Tyler Harris,Vanderbilt,30,12.7,5.5,2.3,0.3,5176497
Chandler Bing,Vanderbilt,34,14.4,3.6,1.5,0.4,5311759
Mike James,Vanderbilt,22,10.6,1.5,2.0,0.7,4684164
Jayden Leverett,Vanderbilt,26,4.0,1.0,1.2,0.0,5254169
Jaylon Dean-Vines,Vanderbilt,10,2.4,0.9,0.4,0.2,5221327
Miles Keeffe,Vanderbilt,12,1.7,0.4,0.3,0.1,5105281
Mason Nicholson,Vanderbilt,5,4.0,0.4,1.0,0.0,5106670
Coleson Messer,Vanderbilt,7,1.1,0.0,0.0,0.0,5174287
Tyler Perkins,Villanova,32,29.6,13.7,5.4,1.6,5182412
Duke Brennan,Villanova,31,30.9,12.4,10.3,2.0,4870569
Acaden Lewis,Villanova,32,30.3,12.3,3.1,5.3,5144105
Bryce Lindsay,Villanova,32,28.3,11.9,2.1,2.0,5174291
Devin Askew,Villanova,32,23.1,10.0,2.6,2.1,4702467
Matt Hodge,Villanova,29,27.6,9.2,3.6,0.7,5175588
Malachi Palmer,Villanova,32,18.2,4.4,1.7,0.6,5239554
Chris Jeffrey,Villanova,21,8.5,3.2,1.1,1.0,5221332
Tafara Gapare,Villanova,9,16.3,2.9,2.9,0.4,5106034
Wade Chiddick,Villanova,2,1.5,1.5,0.0,0.0,5240540
Zion Stanford,Villanova,10,5.1,1.3,0.5,0.4,5175067
Braden Pierce,Villanova,29,6.5,1.2,0.9,0.5,5142360
Malcolm Flaggs,Villanova,1,2.0,0.0,1.0,0.0,5105576
Thijs De Ridder,Virginia,34,27.6,15.5,6.2,1.6,5311846
Malik Thomas,Virginia,34,22.9,12.4,3.9,1.6,4683758
Sam Lewis,Virginia,34,25.4,10.8,3.6,1.4,5176232
Chance Mallory,Virginia,34,24.1,9.5,3.7,3.6,5150404
Jacari White,Virginia,29,17.3,8.8,2.3,1.2,5107274
Johann Grunloh,Virginia,34,21.1,7.2,5.2,0.7,5311844
Ugonna Onyenso,Virginia,34,18.6,6.7,5.0,0.6,5037878
Dallin Hall,Virginia,34,28.4,5.9,3.6,4.3,5105464
Devin Tillis,Virginia,29,16.3,4.3,2.8,1.4,4703393
Elijah Gertrude,Virginia,17,6.2,1.7,0.8,0.6,5080790
Martin Carrere,Virginia,16,3.9,0.8,0.5,0.3,5239714
Carter Lang,Virginia,12,2.2,0.4,0.5,0.3,4894460
Owen Odom,Virginia,11,1.0,0.4,0.2,0.0,5311845
Desmond Roberts,Virginia,13,1.2,0.0,0.4,0.0,5174572
Nick Boyd,Wisconsin,34,31.8,20.6,3.8,4.2,4702654
John Blackwell,Wisconsin,33,33.7,19.0,4.9,2.3,5103630
Nolan Winter,Wisconsin,30,31.0,13.3,8.6,1.5,4895783
Austin Rapp,Wisconsin,29,22.8,9.6,4.0,1.6,5240971
Braeden Carrington,Wisconsin,33,18.1,8.4,2.5,1.1,5105820
Andrew Rohde,Wisconsin,33,26.3,5.7,2.1,2.8,5109019
Aleksas Bieliauskas,Wisconsin,34,20.0,5.0,4.3,0.9,5312048
Jack Janicki,Wisconsin,26,16.5,2.2,2.0,1.1,5174807
Hayden Jones,Wisconsin,27,7.1,1.7,1.0,0.4,5252600
Zach Kinziger,Wisconsin,16,4.8,1.3,0.3,0.6,5144103
Will Garlock,Wisconsin,30,6.6,1.1,1.1,0.7,5215270
Jack Robison,Wisconsin,17,1.8,1.0,0.5,0.1,5110430
Isaac Gard,Wisconsin,14,1.1,0.8,0.2,0.1,5105863
Riccardo Greppi,Wisconsin,14,1.2,0.0,0.4,0.1,5239655
Michael Cooper,Wright St.,30,26.2,13.4,2.8,2.2,5314630
TJ Burch,Wright St.,33,24.5,12.3,2.4,3.5,5241483
Michael Imariagbe,Wright St.,33,24.0,11.8,7.0,1.8,4707481
Solomon Callaghan,Wright St.,32,28.1,9.9,1.9,1.1,5177215
Dominic Pangonis,Wright St.,33,27.4,9.0,2.6,1.2,5243109
Kellen Pickett,Wright St.,34,22.6,8.7,5.4,1.1,5314627
Andrea Holden,Wright St.,34,14.3,6.3,4.0,0.4,5241700
Logan Woods,Wright St.,34,18.6,5.4,2.0,1.6,5106806
Ayden Davis,Wright St.,3,8.7,5.0,1.3,0.0,5241701
Alex Bruskotter,Wright St.,15,8.3,4.5,1.5,0.2,5241699
Bryan Etumnu,Wright St.,17,11.5,3.4,2.4,0.5,5106602
Sam Alamutu,Wright St.,33,12.1,2.9,2.4,1.1,4898006
