player,team,espn_id,entry,r64,r32,s16,e8,f4,championship,games_played,total_points,alive,in_tournament_injury
Aday Mara,Michigan,5174983,Zach,19,16,8,11,26,8,6,88,0,
Jaxon Kohler,Michigan St.,5105815,Elizabeth,12,10,12,,,,3,34,0,
Jeremy Fears Jr.,Michigan St.,4711255,John & Claire,7,12,13,,,,3,32,0,
Jordan Scott,Michigan St.,5196931,John & Claire,6,4,5,,,,3,15,0,
Coen Carr,Michigan St.,4872740,Merbers,17,21,13,,,,3,51,0,
Kur Teng,Michigan St.,4873111,Merbers,3,7,0,,,,3,10,0,
Carson Cooper,Michigan St.,5105817,Schlossbergs,20,9,14,,,,3,43,0,
Mark Mitchell,Missouri,4433285,John & Claire,19,,,,,,1,19,0,
Jayden Stone,Missouri,4432196,Michael D.,21,,,,,,1,21,0,
Braden Frager,Nebraska,5239571,Bruce & Ryan,13,15,16,,,,3,44,0,
Pryce Sandfort,Nebraska,4858604,Bruce & Ryan,23,15,25,,,,3,63,0,
Rienk Mast,Nebraska,4592677,Griffin,11,13,9,,,,3,33,0,
Jamarques Lawrence,Nebraska,5105825,Matt D.,13,9,9,,,,3,31,0,
Sam Hoiberg,Nebraska,4897432,Schlossbergs,4,8,6,,,,3,18,0,
Henri Veesaar,North Carolina,5105571,Alana & Gary,26,,,,,,1,26,0,
Seth Trimble,North Carolina,4712836,Griffin,15,,,,,,1,15,0,
Luka Bogavac,North Carolina,5312014,John & Claire,8,,,,,,1,8,0,
Jarin Stevenson,North Carolina,4873181,Rich,11,,,,,,1,11,0,
Amare Bynum,Ohio St.,5196946,Merbers,12,,,,,,1,12,0,
Devin Royal,Ohio St.,4895776,Spike,14,,,,,,1,14,0,
Bruce Thornton,Ohio St.,5105837,Zach,10,,,,,,1,10,0,
John Mobley Jr.,Ohio St.,5060708,Zach,15,,,,,,1,15,0,
TJ Power,Penn,4684843,Alana & Gary,6,,,,,,1,6,0,
Dontae Horne,Prairie View A&M,5176727,Griffin,12,,,,,,1,12,0,
Trey Kaufman-Renn,Purdue,4897438,Rich,25,19,20,10,,,4,74,0,
Braden Smith,Purdue,5105854,Grace & Pat,26,12,16,13,,,4,67,0,
Oscar Cluff,Purdue,5174973,Grace & Pat,9,8,11,14,,,4,42,0,
Omer Mayer,Purdue,5312035,John & Claire,9,0,2,4,,,4,15,0,
Fletcher Loyer,Purdue,5105853,Lucas,14,24,18,8,,,4,64,0,
C.J. Cox,Purdue,5175591,Rich,11,11,10,7,,,4,39,0,
Daniel Jacobsen,Purdue,5144147,Schlossbergs,4,0,0,0,,,4,4,0,
Robbie Avila,Saint Louis,4917097,Terry,12,9,,,,,2,21,0,
Paulius Murauskas,Saint Mary's,5174955,Zach,4,,,,,,1,4,0,
Elijah Mahi,Santa Clara,5241069,Bruce & Ryan,20,,,,,,1,20,0,
Allen Graves,Santa Clara,5149115,Lucas,17,,,,,,1,17,0,
Christian Hammond,Santa Clara,5176359,Rich,9,,,,,,1,9,0,
