round,pick,entry,player,team
12,175,Griffin,Eric Reibe,Connecticut
12,176,Rich,Duke Brennan,Villanova
12,177,Alana & Gary,Jalen Warley,Gonzaga
12,178,Terry,Kennard Davis Jr.,BYU
12,179,Merbers,Amare Bynum,Ohio St.
12,180,Lucas,Jadrian Tracey,VCU
13,181,Lucas,Allen Graves,Santa Clara
13,182,Merbers,Felix Okpara,Tennessee
13,183,Terry,Maliq Brown,Duke
13,184,Alana & Gary,Dylan Darling,St. John's
13,185,Rich,Tavion Banks,Iowa
13,186,Griffin,Adrian Wooley,Louisville
13,187,Matt D.,Bryson Tiller,Kansas
13,188,Spike,Jake Davis,Illinois
13,189,Bruce & Ryan,Terry Anderson,High Point
13,190,Grace & Pat,Alex Wilkins,Furman
13,191,Zach,Rob Martin,High Point
13,192,Elizabeth,RJ Godfrey,Clemson
13,193,John & Claire,Kristian Gonzalez,Idaho
13,194,Schlossbergs,Andrew Rohde,Wisconsin
13,195,Michael D.,Jayden Pierre,TCU
14,196,Michael D.,Jayden Stone,Missouri
14,197,Schlossbergs,Ugonna Onyenso,Virginia
14,198,John & Claire,Omer Mayer,Purdue
14,199,Elizabeth,Sananda Fru,Louisville
14,200,Zach,Preston Edmead,Hofstra
14,201,Grace & Pat,Eian Elmer,Miami OH
14,202,Bruce & Ryan,Acaden Lewis,Villanova
14,203,Spike,Rylan Griffen,Texas A&M
14,204,Matt D.,Jamichael Stillwell,UCF
14,205,Griffin,Dontae Horne,Prairie View A&M
14,206,Rich,Jarin Stevenson,North Carolina
14,207,Alana & Gary,TJ Power,Penn
14,208,Terry,Jayden Ross,Connecticut
14,209,Merbers,Emmanuel Innocenti,Gonzaga
14,210,Lucas,Tramon Mark,Texas
