rank,player,espn_id,team,seed,region,ppg,expected_games,injury_status,projected_points
1,Cameron Boozer,5041935,Duke,1,East,22.5,4.493977963625555,HEALTHY,101.2
2,Brayden Burries,5082206,Arizona,1,West,16.5,4.443344884710985,HEALTHY,72.8
3,Isaiah Evans,5061585,Duke,1,East,15.4,4.493977963625555,HEALTHY,69.3
4,Joshua Jefferson,4870564,Iowa St.,2,Midwest,17.1,3.6693030989288906,HEALTHY,64.2
5,Yaxel Lendeborg,5175737,Michigan,1,Midwest,15.2,4.41674628989956,PROBABLE,63.1
6,Thomas Haugh,5080489,Florida,1,South,16.6,3.84665313986956,HEALTHY,62.3
7,Keaton Wagler,5254165,Illinois,3,South,17.4,3.538490526143555,HEALTHY,61.9
8,Alex Condon,5174657,Florida,1,South,16.4,3.84665313986956,HEALTHY,61.6
9,Milan Momcilovic,4848637,Iowa St.,2,Midwest,16.3,3.6693030989288906,HEALTHY,61.2
10,Graham Ike,4703396,Gonzaga,3,West,19.4,3.047385403763646,HEALTHY,61.2
11,Kingston Flemings,5149077,Houston,2,South,16.2,3.6247274327563526,HEALTHY,60.5
12,Koa Peat,5041953,Arizona,1,West,13.4,4.443344884710985,HEALTHY,59.1
13,Darius Acuff Jr.,5142620,Arkansas,4,West,24.6,2.6680424898108748,RETURNING,57.9
14,Fletcher Loyer,5105853,Purdue,2,West,15.0,3.6130993363041974,HEALTHY,57.6
15,Trey Kaufman-Renn,4897438,Purdue,2,West,14.4,3.6130993363041974,HEALTHY,55.3
16,Morez Johnson Jr.,4873153,Michigan,1,Midwest,12.4,4.41674628989956,HEALTHY,54.2
17,Jaden Bradley,4432737,Arizona,1,West,12.2,4.443344884710985,HEALTHY,53.8
18,Jeremy Fears Jr.,4711255,Michigan St.,3,East,17.2,3.0944520767617063,HEALTHY,53.7
19,Emanuel Sharp,5106058,Houston,2,South,14.1,3.6247274327563526,HEALTHY,52.7
20,Nick Boyd,4702654,Wisconsin,5,West,21.2,2.3923127402223368,HEALTHY,52.5
21,John Blackwell,5103630,Wisconsin,5,West,20.8,2.3923127402223368,HEALTHY,51.5
22,Tamin Lipsey,5106254,Iowa St.,2,Midwest,13.7,3.6693030989288906,HEALTHY,51.4
23,Tyler Tanner,5187600,Vanderbilt,5,South,20.5,2.6018970544759368,HEALTHY,50.8
24,Aday Mara,5174983,Michigan,1,Midwest,11.6,4.41674628989956,HEALTHY,50.7
25,Labaron Philon Jr.,4873090,Alabama,4,Midwest,21.5,2.544908801467093,PROBABLE,49.8
26,David Mirkovic,5311832,Illinois,3,South,14.0,3.538490526143555,HEALTHY,49.8
27,Darryn Peterson,5041955,Kansas,4,East,20.2,2.5159104208797536,HEALTHY,48.9
28,Pryce Sandfort,4858604,Nebraska,4,South,17.6,2.6952359245714788,HEALTHY,48.2
29,AJ Dybantsa,5142718,BYU,6,West,26.1,1.862898980650907,HEALTHY,48.1
30,Braden Smith,5105854,Purdue,2,West,12.3,3.6130993363041974,HEALTHY,47.2
31,Ja'Kobi Gillespie,5107968,Tennessee,6,Midwest,17.8,2.5670186615697825,HEALTHY,46.9
32,Motiejus Krivas,5174954,Arizona,1,West,10.5,4.443344884710985,HEALTHY,46.3
33,Tarris Reed Jr.,5105809,Connecticut,2,East,13.5,3.219274002088891,HEALTHY,44.9
34,Christian Anderson,5060701,Texas Tech,5,Midwest,18.5,2.304264390636621,HEALTHY,44.9
35,Ivan Kharchenkov,5311896,Arizona,1,West,10.1,4.443344884710985,HEALTHY,44.6
36,Elliot Cadeau,4869764,Michigan,1,Midwest,10.2,4.41674628989956,HEALTHY,44.6
37,Andrej Stojakovic,5175007,Illinois,3,South,12.4,3.538490526143555,HEALTHY,44.1
38,Boogie Fland,5238195,Florida,1,South,11.6,3.84665313986956,HEALTHY,43.5
39,Xaivian Lee,5107169,Florida,1,South,11.5,3.84665313986956,HEALTHY,43.2
40,Duke Miles,4702049,Vanderbilt,5,South,17.3,2.6018970544759368,HEALTHY,42.8
41,Nate Ament,5164559,Tennessee,6,Midwest,16.2,2.5670186615697825,HEALTHY,42.7
42,Kylan Boswell,4684269,Illinois,3,South,12.0,3.538490526143555,HEALTHY,42.7
43,Meleek Thomas,5041951,Arkansas,4,West,16.2,2.6680424898108748,HEALTHY,42.4
44,Jaxon Kohler,5105815,Michigan St.,3,East,13.5,3.0944520767617063,HEALTHY,42.1
45,Rueben Chinyelu,5174971,Florida,1,South,11.2,3.84665313986956,HEALTHY,42.0
46,Zuby Ejiofor,5106262,St. John's,5,East,18.0,2.5313694084806024,HEALTHY,42.0
47,Trey McKenney,5041954,Michigan,1,Midwest,9.6,4.41674628989956,HEALTHY,41.9
48,Tobe Awaka,5105555,Arizona,1,West,9.4,4.443344884710985,HEALTHY,41.5
49,Milos Uzan,5106272,Houston,2,South,11.1,3.6247274327563526,HEALTHY,41.5
50,Thijs De Ridder,5311846,Virginia,3,Midwest,14.5,2.7948047274761754,HEALTHY,41.0
51,Ryan Conwell,5107157,Louisville,6,East,19.2,2.1870154085088043,HEALTHY,40.7
52,Oscar Cluff,5174973,Purdue,2,West,10.6,3.6130993363041974,HEALTHY,40.7
53,Solo Ball,4895737,Connecticut,2,East,12.2,3.219274002088891,HEALTHY,40.5
54,Anthony Dell'Orso,5108141,Arizona,1,West,9.0,4.443344884710985,HEALTHY,39.7
55,Alex Karaban,4917149,Connecticut,2,East,11.9,3.219274002088891,HEALTHY,39.5
56,Trevon Brazile,4698719,Arkansas,4,West,15.0,2.6680424898108748,HEALTHY,39.2
57,Braylon Mullins,5196916,Connecticut,2,East,11.6,3.219274002088891,HEALTHY,38.5
58,Malik Thomas,4683758,Virginia,3,Midwest,13.5,2.7948047274761754,HEALTHY,38.2
59,Urban Klavzar,5238200,Florida,1,South,9.7,3.84665313986956,HEALTHY,36.4
60,Nimari Burnett,4433138,Michigan,1,Midwest,8.3,4.41674628989956,HEALTHY,36.3
61,Coen Carr,4872740,Michigan St.,3,East,11.6,3.0944520767617063,HEALTHY,36.2
62,Silas Demary Jr.,5054083,Connecticut,2,East,10.9,3.219274002088891,PROBABLE,36.2
63,Tomislav Ivisic,5214642,Illinois,3,South,10.0,3.538490526143555,HEALTHY,35.6
64,Tyler Bilodeau,5105626,UCLA,7,East,17.1,2.0356053518028934,HEALTHY,35.5
65,Donovan Atwell,5107355,Texas Tech,5,Midwest,14.6,2.304264390636621,HEALTHY,35.5
66,Chris Cenac Jr.,5142621,Houston,2,South,9.5,3.6247274327563526,HEALTHY,35.5
67,Tyon Grant-Foster,4700527,Gonzaga,3,West,11.2,3.047385403763646,HEALTHY,35.3
68,Rienk Mast,4592677,Nebraska,4,South,12.9,2.6952359245714788,HEALTHY,35.3
69,Bruce Thornton,5105837,Ohio St.,8,East,20.7,1.7889237383557972,HEALTHY,35.2
70,Carson Cooper,5105817,Michigan St.,3,East,10.8,3.0944520767617063,HEALTHY,33.7
71,Otega Oweh,5106270,Kentucky,7,Midwest,19.4,1.7336298535412897,HEALTHY,33.3
72,Robert Wright III,5060709,BYU,6,West,18.0,1.862898980650907,HEALTHY,33.1
73,Paulius Murauskas,5174955,Saint Mary's,7,South,17.9,1.857199447542232,HEALTHY,33.1
74,Bennett Stirtz,5241364,Iowa,9,South,18.6,1.8016798089121213,HEALTHY,32.8
75,Tre White,5105643,Kansas,4,East,13.5,2.5159104208797536,HEALTHY,32.7
76,Mikey Lewis,5240980,Saint Mary's,7,South,17.6,1.857199447542232,HEALTHY,32.5
77,Latrell Wrightsell,4702484,Alabama,4,Midwest,13.3,2.544908801467093,HEALTHY,32.4
78,Malik Reneau,5105798,Miami FL,7,West,17.0,1.8776178676640867,HEALTHY,32.1
79,C.J. Cox,5175591,Purdue,2,West,8.3,3.6130993363041974,HEALTHY,31.9
80,Cayden Boozer,5041937,Duke,1,East,7.1,4.493977963625555,HEALTHY,31.9
81,Braden Frager,5239571,Nebraska,4,South,11.6,2.6952359245714788,HEALTHY,31.7
82,Blake Buchanan,5079838,Iowa St.,2,Midwest,8.4,3.6693030989288906,HEALTHY,31.5
83,Joseph Tugler,5060700,Houston,2,South,8.4,3.6247274327563526,HEALTHY,31.4
84,Bryce Hopkins,4565698,St. John's,5,East,13.3,2.5313694084806024,HEALTHY,31.0
85,Sam Lewis,5176232,Virginia,3,Midwest,10.8,2.7948047274761754,HEALTHY,30.6
86,Roddy Gayle Jr.,5105836,Michigan,1,Midwest,7.0,4.41674628989956,HEALTHY,30.6
87,Tre Donaldson,4837356,Miami FL,7,West,16.2,1.8776178676640867,HEALTHY,30.6
88,Killyan Toure,5248302,Iowa St.,2,Midwest,8.1,3.6693030989288906,HEALTHY,30.4
89,Tyler Nickel,4838721,Vanderbilt,5,South,12.1,2.6018970544759368,HEALTHY,30.0
90,Mark Mitchell,4433285,Missouri,10,West,20.7,1.426436796426509,HEALTHY,29.8
91,Henri Veesaar,5105571,North Carolina,6,South,17.2,1.721717945536111,HEALTHY,29.6
92,Nolan Winter,4895783,Wisconsin,5,West,12.4,2.3923127402223368,RETURNING,29.1
93,Dailyn Swain,4848625,Texas,11,West,17.8,1.6048562965221431,HEALTHY,29.0
94,Flory Bidunga,5044426,Kansas,4,East,11.9,2.5159104208797536,HEALTHY,28.8
95,Billy Richmond III,5060732,Arkansas,4,West,11.0,2.6680424898108748,HEALTHY,28.8
96,John Mobley Jr.,5060708,Ohio St.,8,East,16.9,1.7889237383557972,HEALTHY,28.8
97,Trent Perry,5060706,UCLA,7,East,13.8,2.0356053518028934,HEALTHY,28.7
98,Amari Allen,5101833,Alabama,4,Midwest,11.7,2.544908801467093,HEALTHY,28.5
99,Dame Sarr,5287474,Duke,1,East,6.3,4.493977963625555,HEALTHY,28.3
100,Melvin Council Jr.,5177301,Kansas,4,East,11.6,2.5159104208797536,HEALTHY,28.1
101,LeJuan Watts,5107312,Texas Tech,5,Midwest,11.5,2.304264390636621,HEALTHY,27.9
102,Donovan Dent,5107782,UCLA,7,East,13.4,2.0356053518028934,HEALTHY,27.8
103,MJ Collins Jr.,5105401,Utah St.,9,West,17.2,1.6580742799109198,HEALTHY,27.5
104,Mario Saint-Supery,5313012,Gonzaga,3,West,8.6,3.047385403763646,HEALTHY,27.1
105,Aiden Sherrell,4873184,Alabama,4,Midwest,11.1,2.544908801467093,HEALTHY,27.0
106,Dominique Daniels Jr.,5178207,Cal Baptist,13,East,25.2,1.1208119328195636,HEALTHY,26.9
107,Chance Mallory,5150404,Virginia,3,Midwest,9.5,2.7948047274761754,HEALTHY,26.9
108,Mason Falslev,5107864,Utah St.,9,West,16.6,1.6580742799109198,HEALTHY,26.6
109,J.P. Estrella,5093142,Tennessee,6,Midwest,10.1,2.5670186615697825,HEALTHY,26.6
110,Jamarques Lawrence,5105825,Nebraska,4,South,9.7,2.6952359245714788,HEALTHY,26.5
111,Jeremiah Wilkinson,5165276,Georgia,8,Midwest,16.4,1.675608797331239,HEALTHY,26.5
112,Davis Fogle,5196913,Gonzaga,3,West,8.4,3.047385403763646,HEALTHY,26.5
113,Sam Hoiberg,4897432,Nebraska,4,South,9.6,2.6952359245714788,HEALTHY,26.3
114,Nikolas Khamenia,5144124,Duke,1,East,5.8,4.493977963625555,HEALTHY,26.1
115,Jamarion Batemon,5217196,Iowa St.,2,Midwest,6.9,3.6693030989288906,HEALTHY,25.9
116,Seth Trimble,4712836,North Carolina,6,South,15.0,1.721717945536111,HEALTHY,25.9
117,Wes Enis,5313560,South Florida,11,East,19.4,1.381051849636315,HEALTHY,25.7
118,Matas Vokietaitis,5239838,Texas,11,West,15.5,1.6048562965221431,HEALTHY,25.3
119,Malique Ewin,5105546,Arkansas,4,West,9.6,2.6680424898108748,HEALTHY,25.1
120,Oziyah Sellers,5105642,St. John's,5,East,10.7,2.5313694084806024,HEALTHY,25.0
121,J'Vonne Hadley,4702784,Louisville,6,East,11.8,2.1870154085088043,HEALTHY,25.0
122,Zvonimir Ivisic,5174665,Illinois,3,South,7.0,3.538490526143555,HEALTHY,24.9
123,Jacari White,5107274,Virginia,3,Midwest,8.8,2.7948047274761754,HEALTHY,24.9
124,Charles Bediako,4565203,Alabama,4,Midwest,10.0,2.544908801467093,HEALTHY,24.4
125,Tru Washington,4845368,Miami FL,7,West,12.9,1.8776178676640867,HEALTHY,24.4
126,Skyy Clark,5105794,UCLA,7,East,11.7,2.0356053518028934,HEALTHY,24.3
127,Kur Teng,4873111,Michigan St.,3,East,7.7,3.0944520767617063,HEALTHY,24.0
128,AK Okereke,5114350,Vanderbilt,5,South,9.7,2.6018970544759368,HEALTHY,24.0
129,Adam Miller,4432175,Gonzaga,3,West,7.6,3.047385403763646,HEALTHY,24.0
130,Tavari Johnson,5108059,Akron,12,Midwest,18.9,1.2931262162238186,HEALTHY,23.9
131,Austin Rapp,5240971,Wisconsin,5,West,9.6,2.3923127402223368,HEALTHY,23.8
132,Devin McGlockton,4791227,Vanderbilt,5,South,9.6,2.6018970544759368,HEALTHY,23.8
133,Denzel Aberdeen,5105527,Kentucky,7,Midwest,13.8,1.7336298535412897,HEALTHY,23.7
134,Kanon Catchings,5243212,Georgia,8,Midwest,14.6,1.675608797331239,HEALTHY,23.6
135,Eric Dailey Jr.,4610012,UCLA,7,East,11.3,2.0356053518028934,HEALTHY,23.5
136,Joshua Dent,5183875,Saint Mary's,7,South,12.7,1.857199447542232,HEALTHY,23.5
137,Cruz Davis,5107198,Hofstra,13,Midwest,18.2,1.187657446775464,HEALTHY,23.5
138,Shelton Henderson,5101809,Miami FL,7,West,12.3,1.8776178676640867,HEALTHY,23.3
139,Jaylen Petty,5221321,Texas Tech,5,Midwest,9.5,2.304264390636621,HEALTHY,23.1
140,Daniel Jacobsen,5144147,Purdue,2,West,6.0,3.6130993363041974,HEALTHY,23.0
141,Terrence Hill Jr.,5060712,VCU,11,South,15.1,1.528632640283778,HEALTHY,22.8
142,Larry Johnson,5144375,McNeese,12,South,19.1,1.1878602559564904,HEALTHY,22.7
143,Eric Reibe,5152763,Connecticut,2,East,6.8,3.219274002088891,HEALTHY,22.6
144,Isaac McKneely,4712845,Louisville,6,East,10.6,2.1870154085088043,HEALTHY,22.5
145,Jalen Washington,4433625,Vanderbilt,5,South,9.1,2.6018970544759368,HEALTHY,22.5
146,Ian Jackson,4869770,St. John's,5,East,9.6,2.5313694084806024,HEALTHY,22.4
147,Preston Edmead,5236222,Hofstra,13,Midwest,17.1,1.187657446775464,HEALTHY,22.1
148,Tramon Mark,4432243,Texas,11,West,13.5,1.6048562965221431,HEALTHY,22.0
149,Omer Mayer,5312035,Purdue,2,West,5.7,3.6130993363041974,HEALTHY,21.9
150,Patrick Ngongba II,4873209,Duke,1,East,10.7,4.493977963625555,DAY-TO-DAY,21.9
151,Christian Hammond,5176359,Santa Clara,10,Midwest,14.5,1.5799635617998462,HEALTHY,21.9
152,Devin Royal,4895776,Ohio St.,8,East,12.8,1.7889237383557972,HEALTHY,21.8
153,Jordan Pope,5105624,Texas,11,West,13.3,1.6048562965221431,HEALTHY,21.7
154,Rashaun Agee,4593815,Texas A&M,10,South,16.2,1.4566855454590613,HEALTHY,21.7
155,Ben Humrichous,5177736,Illinois,3,South,6.1,3.538490526143555,HEALTHY,21.7
156,Maliq Brown,5105337,Duke,1,East,4.8,4.493977963625555,HEALTHY,21.6
157,Braeden Carrington,5105820,Wisconsin,5,West,8.4,2.3923127402223368,HEALTHY,20.8
158,David Punch,5164368,TCU,9,East,15.1,1.4134181836532724,HEALTHY,20.8
159,Robbie Avila,4917097,Saint Louis,9,Midwest,13.6,1.5222445358331,HEALTHY,20.6
160,Tyler Perkins,5182412,Villanova,8,West,13.4,1.5362013103644672,HEALTHY,20.6
161,Isaiah Brown,5144372,Florida,1,South,5.5,3.84665313986956,HEALTHY,20.6
162,Jake Davis,5176150,Illinois,3,South,5.8,3.538490526143555,HEALTHY,20.6
163,Riley Kugel,5105529,UCF,10,East,15.1,1.3981367768674555,HEALTHY,20.4
164,Johann Grunloh,5311844,Virginia,3,Midwest,7.2,2.7948047274761754,HEALTHY,20.4
165,Felix Okpara,5105841,Tennessee,6,Midwest,7.7,2.5670186615697825,HEALTHY,20.3
166,Terry Anderson,5241590,High Point,12,West,17.0,1.1776837815335008,HEALTHY,20.2
167,Duke Brennan,4870569,Villanova,8,West,13.0,1.5362013103644672,HEALTHY,20.0
168,D.J. Wagner,4683777,Arkansas,4,West,7.6,2.6680424898108748,HEALTHY,19.9
169,Bryson Tiller,5041958,Kansas,4,East,8.2,2.5159104208797536,HEALTHY,19.9
170,TJ Power,4684843,Penn,14,South,20.0,1.0315226931276236,HEALTHY,19.9
171,Blue Cain,5174661,Georgia,8,Midwest,12.1,1.675608797331239,HEALTHY,19.6
172,Lazar Djokovic,5175368,VCU,11,South,12.9,1.528632640283778,HEALTHY,19.5
173,Jaylen Carey,4685687,Tennessee,6,Midwest,7.4,2.5670186615697825,HEALTHY,19.5
174,Sananda Fru,5311967,Louisville,6,East,9.2,2.1870154085088043,HEALTHY,19.5
175,Joson Sanon,5142625,St. John's,5,East,8.3,2.5313694084806024,HEALTHY,19.4
176,Jalen Warley,4683147,Gonzaga,3,West,6.8,3.047385403763646,RETURNING,19.3
177,Elijah Mahi,5241069,Santa Clara,10,Midwest,12.8,1.5799635617998462,HEALTHY,19.3
178,Frankie Collins,4433616,Vanderbilt,5,South,7.8,2.6018970544759368,HEALTHY,19.3
179,Ugnius Jarusevicius,5108721,Nebraska,4,South,7.0,2.6952359245714788,HEALTHY,19.2
180,Marcus Millender,5176681,Georgia,8,Midwest,11.9,1.675608797331239,HEALTHY,19.2
181,Dillon Mitchell,5106283,St. John's,5,East,8.2,2.5313694084806024,HEALTHY,19.1
182,Ugonna Onyenso,5037878,Virginia,3,Midwest,6.7,2.7948047274761754,HEALTHY,19.0
183,Izaiyah Nelson,5107251,South Florida,11,East,14.3,1.381051849636315,HEALTHY,18.9
184,Christoph Tilly,5109790,Ohio St.,8,East,11.0,1.7889237383557972,HEALTHY,18.7
185,Rob Martin,5107904,High Point,12,West,15.7,1.1776837815335008,HEALTHY,18.7
186,Dontae Horne,5176727,Prairie View A&M,16,South,20.2,1.0067552530800046,HEALTHY,18.6
187,Tavion Banks,5241363,Iowa,9,South,10.5,1.8016798089121213,HEALTHY,18.5
188,Jordan Scott,5196931,Michigan St.,3,East,5.9,3.0944520767617063,HEALTHY,18.4
189,Jack Benter,5102618,Purdue,2,West,4.8,3.6130993363041974,HEALTHY,18.4
190,Themus Fulks,4704078,UCF,10,East,13.6,1.3981367768674555,HEALTHY,18.4
191,Emmanuel Innocenti,5176787,Gonzaga,3,West,5.8,3.047385403763646,HEALTHY,18.3
192,Bryce Lindsay,5174291,Villanova,8,West,11.9,1.5362013103644672,HEALTHY,18.3
193,Dwayne Aristode,5186456,Arizona,1,West,4.1,4.443344884710985,HEALTHY,18.1
194,Adrian Wooley,5242127,Louisville,6,East,8.5,2.1870154085088043,HEALTHY,18.0
195,Joseph Pinion,4699760,South Florida,11,East,13.6,1.381051849636315,HEALTHY,18.0
196,Gicarri Harris,5101658,Purdue,2,West,4.7,3.6130993363041974,HEALTHY,18.0
197,Tyshawn Archie,5175726,McNeese,12,South,15.1,1.1878602559564904,HEALTHY,18.0
198,Acaden Lewis,5144105,Villanova,8,West,11.6,1.5362013103644672,HEALTHY,17.9
199,Mercy Miller,4873086,Houston,2,South,4.8,3.6247274327563526,HEALTHY,17.9
200,Isaac Johnson,4898118,Hawaii,13,West,15.7,1.1122712394569803,HEALTHY,17.9
201,Amani Lyles,5108060,Akron,12,Midwest,14.0,1.2931262162238186,HEALTHY,17.7
202,Nate Heise,4703912,Iowa St.,2,Midwest,4.7,3.6693030989288906,HEALTHY,17.6
203,Berke Buyuktuncel,5174982,Nebraska,4,South,6.4,2.6952359245714788,HEALTHY,17.5
204,Allen Graves,5149115,Santa Clara,10,Midwest,11.6,1.5799635617998462,HEALTHY,17.5
205,Trey Campbell,5107887,Northern Iowa,12,East,14.6,1.2007746892837103,HEALTHY,17.4
206,Xavier Edmonds,5311928,TCU,9,East,12.6,1.4134181836532724,HEALTHY,17.3
207,Gavin Doty,5242926,Siena,16,East,19.0,1.0104217789334686,HEALTHY,17.2
208,RJ Godfrey,5105449,Clemson,8,South,11.9,1.4821492990678407,HEALTHY,17.2
209,Alex Wilkins,5314511,Furman,15,East,17.6,1.0340250474179207,HEALTHY,17.0
210,Collin Chandler,5238207,Kentucky,7,Midwest,9.9,1.7336298535412897,HEALTHY,17.0
211,Braeden Smith,5105672,Gonzaga,3,West,5.4,3.047385403763646,HEALTHY,17.0
212,Will Tschetter,4684596,Michigan,1,Midwest,3.9,4.41674628989956,HEALTHY,17.0
213,Dominykas Pleta,5281369,Iowa St.,2,Midwest,4.5,3.6693030989288906,HEALTHY,16.9
214,Luka Bogavac,5312014,North Carolina,6,South,9.8,1.721717945536111,HEALTHY,16.9
215,Dre Bullock,5106877,Hawaii,13,West,14.8,1.1122712394569803,HEALTHY,16.9
216,Javohn Garcia,4701125,McNeese,12,South,14.1,1.1878602559564904,HEALTHY,16.8
217,Dion Brown,5107242,Saint Louis,9,Midwest,11.1,1.5222445358331,HEALTHY,16.8
218,Trey Green,4711258,Saint Louis,9,Midwest,11.1,1.5222445358331,HEALTHY,16.8
219,Tai'Reon Joseph,4703215,Prairie View A&M,16,South,18.2,1.0067552530800046,HEALTHY,16.8
220,Dallin Hall,5105464,Virginia,3,Midwest,5.9,2.7948047274761754,HEALTHY,16.7
221,Darren Harris,4873107,Duke,1,East,3.7,4.493977963625555,HEALTHY,16.6
222,Amare Bynum,5196946,Ohio St.,8,East,9.7,1.7889237383557972,HEALTHY,16.5
223,Jordan Burks,5060684,UCF,10,East,12.2,1.3981367768674555,HEALTHY,16.5
