rank,player,espn_id,team,seed,region,ppg,expected_games,injury_status,projected_points
425,Doug Young,5177138,Prairie View A&M,16,South,9.3,1.0067552530800046,HEALTHY,8.6
426,Jacari Lane,5107078,Texas A&M,10,South,6.4,1.4566855454590613,HEALTHY,8.6
427,Liam Campbell,5101655,Saint Mary's,7,South,4.6,1.857199447542232,HEALTHY,8.5
428,Jamari McDowell,5103571,Kansas,4,East,3.5,2.5159104208797536,HEALTHY,8.5
429,Timotej Malovec,5281366,Miami FL,7,West,4.5,1.8776178676640867,HEALTHY,8.5
430,Jonathan Powell,5101669,North Carolina,6,South,4.8,1.721717945536111,HEALTHY,8.3
431,AJ Levine,5241732,Penn,14,South,8.3,1.0315226931276236,HEALTHY,8.3
432,Jerrell Bellamy,5176735,Troy,13,South,8.2,1.061365531097464,HEALTHY,8.2
433,Jamar Brown,5177743,UCLA,7,East,3.9,2.0356053518028934,HEALTHY,8.1
434,Joshua DeCady,5239632,Hofstra,13,Midwest,6.3,1.187657446775464,HEALTHY,8.1
435,Braden Hausen,5241592,High Point,12,West,6.8,1.1776837815335008,HEALTHY,8.1
436,Joey Madimba,4705371,Prairie View A&M,16,South,8.7,1.0067552530800046,HEALTHY,8.0
437,Kohl Rosario,5291864,Kansas,4,East,3.3,2.5159104208797536,HEALTHY,8.0
438,Davion Hannah,5101805,Alabama,4,Midwest,3.3,2.544908801467093,HEALTHY,8.0
439,Travelle Bryson,5316220,Howard,16,Midwest,8.8,1.0107672076181229,HEALTHY,8.0
440,Paul Otieno,5107797,Saint Louis,9,Midwest,5.2,1.5222445358331,HEALTHY,7.9
441,Brandon Garrison,4711306,Kentucky,7,Midwest,4.6,1.7336298535412897,HEALTHY,7.9
442,Alex Cotton,5175065,Howard,16,Midwest,8.7,1.0107672076181229,HEALTHY,7.9
443,Jake Wilkins,5142622,Georgia,8,Midwest,4.9,1.675608797331239,HEALTHY,7.9
444,Kareem Stagg,5144153,Georgia,8,Midwest,4.8,1.675608797331239,HEALTHY,7.8
445,Jake Wahlin,5174977,Clemson,8,South,5.4,1.4821492990678407,HEALTHY,7.8
446,Tay Smith,4901166,North Dakota St.,14,East,7.7,1.0724002907644616,HEALTHY,7.8
447,Brendan Coyle,5107811,Siena,16,East,8.6,1.0104217789334686,HEALTHY,7.8
448,Tom House,4896557,Furman,15,East,8.1,1.0340250474179207,HEALTHY,7.8
449,Aleksej Kostic,5311908,BYU,6,West,4.2,1.862898980650907,HEALTHY,7.7
450,Max Weisbrod,5241408,Northern Iowa,12,East,6.5,1.2007746892837103,HEALTHY,7.7
451,Ali Dibba,4896862,Texas A&M,10,South,5.6,1.4566855454590613,HEALTHY,7.5
452,Alphonzo Billups III,5106039,LIU,16,West,8.1,1.0087505174256424,HEALTHY,7.5
453,Maban Jabriel,5240005,Queens,15,West,7.6,1.0248230731436103,HEALTHY,7.5
454,Elijah Perryman,5255260,Utah St.,9,West,4.6,1.6580742799109198,HEALTHY,7.4
455,Devan Cambridge,4567588,UCF,10,East,5.4,1.3981367768674555,HEALTHY,7.3
456,Dylan James,4895794,Georgia,8,Midwest,4.5,1.675608797331239,HEALTHY,7.3
457,Taison Chatman,4685646,Ohio St.,8,East,4.5,1.7889237383557972,PROBABLE,7.3
458,KJ Cochran,5196879,Santa Clara,10,Midwest,4.8,1.5799635617998462,HEALTHY,7.3
459,Chase Johnston,4612709,High Point,12,West,6.1,1.1776837815335008,HEALTHY,7.3
460,Isaiah Kerr,5107841,Hawaii,13,West,6.3,1.1122712394569803,HEALTHY,7.2
461,Brendan Hausen,5105589,Iowa,9,South,4.0,1.8016798089121213,HEALTHY,7.1
462,Kyan Evans,5093253,North Carolina,6,South,4.1,1.721717945536111,HEALTHY,7.1
463,Brody Rowbury,5108917,Idaho,15,South,7.8,1.0268929008951702,HEALTHY,7.1
464,Ahmad Nowell,4869778,VCU,11,South,4.7,1.528632640283778,HEALTHY,7.1
465,Ben Vander Wal,5107369,Furman,15,East,7.3,1.0340250474179207,HEALTHY,7.1
466,Kobe Rodgers,5174946,Louisville,6,East,3.3,2.1870154085088043,HEALTHY,7.0
467,Jerrell Colbert,4433273,McNeese,12,South,5.8,1.1878602559564904,HEALTHY,6.9
468,Cody Pennebaker,5108080,Kennesaw St.,14,West,7.1,1.0486320822090252,HEALTHY,6.9
469,Ethan Burg,5311527,Tennessee,6,Midwest,2.6,2.5670186615697825,HEALTHY,6.9
470,Malachi Palmer,5239554,Villanova,8,West,4.4,1.5362013103644672,HEALTHY,6.8
471,Aly Khalifa,4702739,Louisville,6,East,3.2,2.1870154085088043,HEALTHY,6.8
472,Justin Kirby,5313370,Miami OH,11,Midwest,6.4,1.1490672616807558,HEALTHY,6.8
473,Justin Bailey,5107490,Georgia,8,Midwest,4.2,1.675608797331239,HEALTHY,6.8
474,Aaron Hunkin-Claytor,5241898,Hawaii,13,West,6.0,1.1122712394569803,HEALTHY,6.8
475,Silas Sunday,4684984,Hofstra,13,Midwest,5.2,1.187657446775464,HEALTHY,6.7
476,Jaylen Benard,5175669,LIU,16,West,7.3,1.0087505174256424,HEALTHY,6.7
477,Antonio Chandler,5314192,Siena,16,East,7.3,1.0104217789334686,HEALTHY,6.6
478,Jacolb Fredson-Cole,5238222,McNeese,12,South,5.5,1.1878602559564904,HEALTHY,6.5
479,Nic Codie,5149083,Texas,11,West,4.0,1.6048562965221431,HEALTHY,6.5
480,Jonathan Griman,5178211,Cal Baptist,13,East,6.1,1.1208119328195636,HEALTHY,6.5
481,Mikel Brown Jr.,5101761,Louisville,6,East,19.4,2.1870154085088043,OUT,6.4
482,Carmelo Pacheco,5242634,UCF,10,East,4.7,1.3981367768674555,HEALTHY,6.4
483,Vincent Brady II,5106755,High Point,12,West,5.4,1.1776837815335008,HEALTHY,6.4
484,Trey Perry,5313368,Miami OH,11,Midwest,6.0,1.1490672616807558,HEALTHY,6.3
485,Jace Posey,5101654,TCU,9,East,4.6,1.4134181836532724,HEALTHY,6.3
486,Andrea Holden,5241700,Wright St.,14,Midwest,6.3,1.0608709591867682,HEALTHY,6.3
487,Devon Malcolm,5241323,Cal Baptist,13,East,5.9,1.1208119328195636,HEALTHY,6.3
488,Jack Payne,5107563,Idaho,15,South,6.7,1.0268929008951702,HEALTHY,6.1
489,Victory Onuetu,5312163,Hofstra,13,Midwest,4.7,1.187657446775464,HEALTHY,6.1
490,Isaiah Jones,4067423,South Florida,11,East,4.5,1.381051849636315,HEALTHY,6.0
491,Dalton Scantlebury,5314646,Penn,14,South,6.0,1.0315226931276236,HEALTHY,6.0
492,Marcel Bryant,5177019,Prairie View A&M,16,South,6.5,1.0067552530800046,HEALTHY,6.0
493,Josh Holloway,5176160,Texas A&M,10,South,4.5,1.4566855454590613,HEALTHY,6.0
494,Jalen Pitre,5105453,Tennessee St.,15,Midwest,6.5,1.0205527912566916,HEALTHY,5.9
