rank,player,team,seed,region,ppg,expected_games,injury_status,projected_points
219,Dylan Darling,St. John's,5,East,7.0,2.5403799825471407,HEALTHY,16.0
220,Amare Bynum,Ohio St.,8,East,9.7,1.7609865875295259,HEALTHY,15.9
221,Houston Mallette,Alabama,4,Midwest,6.6,2.5714341331417776,HEALTHY,15.8
222,B.J. Edwards,SMU,11,Midwest,12.7,1.332089930268756,HEALTHY,15.6
223,Lamont Butler,Kentucky,7,Midwest,11.5,1.715176414913244,RETURNING,15.5
224,Tyshawn Archie,McNeese,12,South,14.3,1.1361712716664654,HEALTHY,15.5
225,Kennard Davis,BYU,6,West,8.5,1.824214581313023,HEALTHY,15.4
226,Divine Ugochukwu,Michigan St.,3,East,5.1,3.0781569928041943,HEALTHY,15.3
227,Jamichael Stillwell,UCF,10,East,11.7,1.350172172537014,HEALTHY,15.2
228,Andrew McKeever,Saint Mary's,7,South,8.4,1.8292661416347202,HEALTHY,15.2
229,Steele Venters,Gonzaga,3,West,5.0,3.063380154355378,HEALTHY,15.2
230,Alex Wilkins,Furman,15,East,17.7,1.0183287316112681,HEALTHY,15.1
231,Somto Cyril,Georgia,8,Midwest,9.6,1.6624206907953474,HEALTHY,15.1
232,Trey Campbell,Northern Iowa,12,East,13.7,1.1553564921640362,HEALTHY,15.1
233,Shammah Scott,Akron,12,Midwest,12.7,1.2392503962740795,HEALTHY,15.1
234,Cameron Ward,Michigan St.,3,East,5.0,3.0781569928041943,HEALTHY,15.0
235,Jayden Ross,Connecticut,2,East,4.7,3.2550121335565096,HEALTHY,15.0
236,Amari McCottry,Saint Louis,9,Midwest,10.3,1.473201078512114,HEALTHY,14.9
237,Ethan Roberts,Penn,14,South,16.9,1.0170299674170582,HEALTHY,14.9
238,London Jemison,Alabama,4,Midwest,6.2,2.5714341331417776,HEALTHY,14.9
239,Taylor Bol Bowen,Alabama,4,Midwest,6.2,2.5714341331417776,HEALTHY,14.9
240,Devin Askew,Villanova,8,West,10.0,1.5121596016637524,HEALTHY,14.9
241,Rylan Griffen,Texas A&M,10,South,11.6,1.4118253978526154,HEALTHY,14.9
242,Micah Handlogten,Florida,1,South,4.1,3.9645621896253296,HEALTHY,14.7
243,Tre Holloman,N.C. State,11,West,9.3,1.5852603144620252,HEALTHY,14.7
244,Mouhamed Dioubate,Kentucky,7,Midwest,8.7,1.715176414913244,HEALTHY,14.7
245,Trent Pierce,Missouri,10,West,10.6,1.3745380460522134,HEALTHY,14.5
246,Chase McCarty,Houston,2,South,4.0,3.7245278533699917,HEALTHY,14.5
247,Jadrian Tracey,VCU,11,South,10.1,1.4760090682150464,HEALTHY,14.5
248,Bishop Boswell,Tennessee,6,Midwest,6.2,2.3022837227775246,HEALTHY,14.4
249,Kristian Gonzalez,Idaho,15,South,18.0,1.0137974280945312,HEALTHY,14.3
250,Kellen Thames,Saint Louis,9,Midwest,9.9,1.473201078512114,HEALTHY,14.3
251,Isaac Johnson,Hawaii,13,West,14.1,1.0686910580991416,HEALTHY,14.2
252,Xavier Booker,UCLA,7,East,6.9,2.0135711637048495,HEALTHY,14.2
253,Matt Able,N.C. State,11,West,9.0,1.5852603144620252,HEALTHY,14.2
254,Alvaro Folgueiras,Iowa,9,South,8.1,1.7814513301612496,HEALTHY,14.0
255,Connor Essegian,Nebraska,4,South,5.4,2.6647297297461723,HEALTHY,14.0
256,Rob Lee Jr.,Kennesaw St.,14,West,16.0,1.0279142179882685,HEALTHY,14.0
257,Marcus Hill,Texas A&M,10,South,10.8,1.4118253978526154,HEALTHY,13.9
258,Karson Templin,Utah St.,9,West,9.1,1.616518568726879,HEALTHY,13.9
259,TJ Power,Penn,14,South,15.8,1.0170299674170582,HEALTHY,13.9
260,Josh Omojafo,South Florida,11,East,11.5,1.280345337824454,HEALTHY,13.9
261,Isiah Harwell,Houston,2,South,3.8,3.7245278533699917,HEALTHY,13.8
262,Aaron Nkrumah,Tennessee St.,15,Midwest,17.6,1.010104041648156,HEALTHY,13.8
263,Micah Robinson,TCU,9,East,10.5,1.3781636306788012,HEALTHY,13.8
264,Jayden Pierre,TCU,9,East,10.5,1.3781636306788012,HEALTHY,13.8
265,Cam'Ron Fletcher,High Point,12,West,12.7,1.1311220369131678,HEALTHY,13.8
266,Jarin Stevenson,North Carolina,6,South,8.0,1.7095102517252092,HEALTHY,13.6
267,Quandre Bullock,Hawaii,13,West,13.5,1.0686910580991416,HEALTHY,13.6
268,Tyler Harris,Vanderbilt,5,South,5.5,2.6436211895866046,HEALTHY,13.6
269,Andrew Rohde,Wisconsin,5,West,5.7,2.359319689960756,HEALTHY,13.6
270,CJ Brown,South Florida,11,East,11.2,1.280345337824454,HEALTHY,13.6
