pick,player,team,entry,actual_pts,value_score
146,Christian Hammond,Santa Clara,Rich,9,-23.0
147,Skyy Clark,UCLA,Alana & Gary,19,-12.5
148,Robbie Avila,Saint Louis,Terry,21,-10.0
149,Joson Sanon,St. John's,Merbers,9,-21.5
150,Matas Vokietaitis,Texas,Lucas,49,19.0
151,Kanon Catchings,Georgia,Lucas,0,-29.5
152,Eric Dailey Jr.,UCLA,Merbers,32,3.0
153,Izaiyah Nelson,South Florida,Terry,22,-6.5
154,Larry Johnson,McNeese,Alana & Gary,15,-13.0
155,Jalen Washington,Vanderbilt,Rich,10,-17.5
156,Isaac McKneely,Louisville,Griffin,32,5.0
157,Tru Washington,Miami FL,Matt D.,20,-6.5
158,Johann Grunloh,Virginia,Spike,10,-16.0
159,Elijah Mahi,Santa Clara,Bruce & Ryan,20,-5.5
160,RJ Johnson,Kennesaw St.,Grace & Pat,15,-10.0
161,Adam Miller,Gonzaga,Zach,4,-20.5
162,Xavier Edmonds,TCU,Elizabeth,28,4.0
163,Amani Lyles,Akron,John & Claire,26,2.5
164,Collin Chandler,Kentucky,Schlossbergs,11,-12.0
165,Tyler Perkins,Villanova,Michael D.,15,-7.5
166,Dillon Mitchell,St. John's,Michael D.,28,6.0
167,Daniel Jacobsen,Purdue,Schlossbergs,4,-17.5
168,Braeden Carrington,Wisconsin,John & Claire,5,-16.0
169,Joseph Pinion,South Florida,Elizabeth,27,6.5
170,Joshua Dent,Saint Mary's,Zach,18,-2.0
171,Ben Humrichous,Illinois,Grace & Pat,21,1.5
172,Isaiah Brown,Florida,Bruce & Ryan,10,-9.0
173,Devin Royal,Ohio St.,Spike,14,-4.5
174,Bryce Lindsay,Villanova,Matt D.,25,7.0
175,Eric Reibe,Connecticut,Griffin,6,-11.5
176,Duke Brennan,Villanova,Rich,15,-2.0
177,Jalen Warley,Gonzaga,Alana & Gary,22,5.5
178,Kennard Davis Jr.,BYU,Terry,9,-7.0
179,Amare Bynum,Ohio St.,Merbers,12,-3.5
180,Jadrian Tracey,VCU,Lucas,7,-8.0
181,Allen Graves,Santa Clara,Lucas,17,2.5
182,Felix Okpara,Tennessee,Merbers,41,27.0
183,Maliq Brown,Duke,Terry,24,10.5
184,Dylan Darling,St. John's,Alana & Gary,16,3.0
185,Tavion Banks,Iowa,Rich,33,20.5
186,Adrian Wooley,Louisville,Griffin,21,9.0
187,Bryson Tiller,Kansas,Matt D.,6,-5.5
188,Jake Davis,Illinois,Spike,11,0.0
189,Terry Anderson,High Point,Bruce & Ryan,30,19.5
190,Alex Wilkins,Furman,Grace & Pat,21,11.0
191,Rob Martin,High Point,Zach,53,43.5
192,RJ Godfrey,Clemson,Elizabeth,15,6.0
193,Kristian Gonzalez,Idaho,John & Claire,0,-8.5
194,Andrew Rohde,Wisconsin,Schlossbergs,6,-2.0
195,Jayden Pierre,TCU,Michael D.,8,0.5
196,Jayden Stone,Missouri,Michael D.,21,14.0
197,Ugonna Onyenso,Virginia,Schlossbergs,6,-0.5
198,Omer Mayer,Purdue,John & Claire,15,9.0
199,Sananda Fru,Louisville,Elizabeth,12,6.5
200,Preston Edmead,Hofstra,Zach,24,19.0
201,Eian Elmer,Miami OH,Grace & Pat,4,-0.5
202,Acaden Lewis,Villanova,Bruce & Ryan,7,3.0
203,Rylan Griffen,Texas A&M,Spike,10,6.5
204,Jamichael Stillwell,UCF,Matt D.,10,7.0
205,Dontae Horne,Prairie View A&M,Griffin,12,9.5
206,Jarin Stevenson,North Carolina,Rich,11,9.0
207,TJ Power,Penn,Alana & Gary,6,4.5
208,Jayden Ross,Connecticut,Terry,24,23.0
209,Emmanuel Innocenti,Gonzaga,Merbers,16,15.5
210,Tramon Mark,Texas,Lucas,54,54.0
